Date,Category,UAH,Payment method
2023-11-02,1000 Drones For Ukraine,102.53,PayPal
2023-11-02,General Donations,153.55,PayPal
2023-11-02,Victory Drones,3.59,PayPal
2023-11-02,General Donations,51.52,PayPal
2023-11-02,Victory Drones,20.91,PayPal
2023-11-02,General Donations,309.43,PayPal
2023-11-02,General Donations,20.91,PayPal
2023-11-02,Flight To Recovery,51.52,PayPal
2023-11-02,General Donations,50.0,PayPal
2023-11-02,General Donations,20.0,PayPal
2023-11-02,1000 Drones For Ukraine,25.0,PayPal
2023-11-02,General Donations,31.11,PayPal
2023-11-02,General Donations,51.52,PayPal
2023-11-02,General Donations,204.56,PayPal
2023-11-02,Victory Drones,103.48,PayPal
2023-11-02,General Donations,30.0,PayPal
2023-11-02,General Donations,10.1,PayPal
2023-11-02,General Donations,51.52,PayPal
2023-11-02,General Donations,26.25,PayPal
2023-11-02,General Donations,10.8,PayPal
2023-11-02,General Donations,5.65,PayPal
2023-11-02,General Donations,154.97,PayPal
2023-11-02,General Donations,51.99,PayPal
2023-11-02,Mobile Shower Units,25.0,PayPal
2023-11-02,Flight To Recovery,25.0,PayPal
2023-11-02,1000 Drones For Ukraine,20.0,PayPal
2023-11-02,General Donations,10.7,PayPal
2023-11-02,General Donations,103.48,PayPal
2023-11-02,1000 Drones For Ukraine,77.02,PayPal
2023-11-02,General Donations,10.7,PayPal
2023-10-19,General Donations,222.5,Deposit
2023-10-19,General Donations,300.0,Deposit
2023-10-15,General Donations,100.0,Zelle
2023-10-12,Victory Drones,350000.0,Fedwire Credit
2023-10-12,General Donations,3000.0,Zelle
2023-10-09,General Donations,51.52,PayPal
2023-10-09,General Donations,51.52,PayPal
2023-10-09,General Donations,5.0,PayPal
2023-10-09,General Donations,5.0,PayPal
2023-10-09,General Donations,51.52,PayPal
2023-10-06,General Donations,154.97,PayPal
2023-10-06,General Donations,103.48,PayPal
2023-10-06,General Donations,100.0,PayPal
2023-10-06,General Donations,10.0,PayPal
2023-10-06,General Donations,10.7,PayPal
2023-10-06,General Donations,200.0,PayPal
2023-10-06,General Donations,15.8,PayPal
2023-10-06,1000 Drones For Ukraine,26.25,PayPal
2023-10-06,General Donations,26.01,PayPal
2023-10-06,General Donations,120.0,PayPal
2023-10-06,General Donations,5.6,PayPal
2023-10-06,Flight To Recovery,20.91,PayPal
2023-10-06,Mobile Shower Units,20.91,PayPal
